YNL085W	YNL090W	3.15031
YNL090W	YPL258C	0.441994
YNL102W	YNL262W	0.936464
YNL188W	YPL255W	4.5685
YNL252C	YNL284C	2.68978
YNL284C	YOR150W	2.71222
YNL284C	YOR201C	1.55997
YNL333W	YNL334C	0.906537
YNR017W	YPL063W	0.844338
YOL090W	YOR033C	0.779826
YPL124W	YPL155C	0.488174
YPL124W	YPL255W	5.27501
YPL253C	YPR141C	0.39987
