YIR005W	YMR105C
YIR006C	YNL084C
YIR035C	YLR447C
YIR038C	YJL097W
YIR038C	YPL020C
YJL001W	YLR386W
YJL001W	YOR157C
YJL001W	YPR054W
YJL030W	YNL218W
YJL034W	YJR035W
YJL034W	YLR288C
YJL034W	YNL250W
YJL034W	YPL149W
YJL052W	YOR089C
YJL052W	YOR212W
YJL052W	YOR230W
YJL052W	YOR269W
YJL052W	YPL149W
YJL057C	YML117W
YJL057C	YMR276W
YJL057C	YNL007C
YJL057C	YOR028C
YJL068C	YKL152C
YJL068C	YLR354C
YJL088W	YLR238W
YJL088W	YLR288C
YJL088W	YNL250W
YJL088W	YNL311C
YJL130C	YLR263W
YJL130C	YOL087C
YJL163C	YLL061W
YJL164C	YNL093W
YJL199C	YLR288C
YJL199C	YLR447C
YJR001W	YJR082C
YJR001W	YNR075W
YJR009C	YKR036C
YJR009C	YML053C
YJR009C	YOR089C
YJR009C	YPL149W
YJR010C-A	YJR117W
YJR010C-A	YKL065C
YJR010C-A	YLR447C
YJR022W	YKR021W
YJR022W	YLR269C
YJR022W	YNL118C
YJR022W	YNL147W
YJR022W	YPR178W
YJR023C	YNL118C
YJR025C	YLR288C
YJR035W	YKL035W
YJR035W	YKL152C
YJR035W	YNL084C
YJR074W	YOR185C
YJR082C	YLR217W
YJR082C	YOL129W
YJR082C	YPR096C
YJR083C	YLR288C
YJR086W	YOR212W
YJR102C	YLR417W
YJR109C	YOR302W
YJR109C	YOR303W
YJR112W	YLR288C
YJR112W	YNL250W
YJR112W	YOR269W
YJR117W	YNL048W
YJR117W	YNR019W
YJR136C	YKL033W
YJR141W	YLR447C
YKL002W	YLR108C
YKL022C	YNL172W
YKL025C	YLR447C
YKL025C	YNL092W
YKL028W	YOL051W
YKL035W	YPL149W
YKL058W	YLR288C
YKL060C	YPL149W
YKL061W	YNL086W
YKL065C	YLL028W
YKL065C	YLL061W
YKL065C	YNL048W
YKL065C	YPL264C
YKL107W	YLR288C
YKL117W	YMR186W
YKL117W	YOR027W
YKL117W	YPL240C
YKL133C	YNL118C
YKL145W	YLR421C
YKL152C	YKL210W
YKL152C	YLR288C
YKL152C	YLR320W
YKL152C	YLR427W
YKL152C	YNR010W
YKL152C	YNR019W
YKL152C	YPR054W
YKL152C	YPR111W
YKL153W	YNL092W
YKL174C	YLL006W
YKL176C	YOR080W
YKL196C	YLR093C
YKL203C	YMR036C
YKL203C	YMR068W
YKL210W	YOR027W
YKL221W	YOR221C
YKR005C	YLR447C
YKR029C	YOL068C
YKR031C	YNL118C
YLL024C	YLR459W
YLL024C	YNL007C
YLL024C	YNL077W
YLL024C	YPL240C
YLL026W	YOR027W
YLL028W	YPL234C
YLR011W	YLR288C
YLR011W	YLR447C
YLR025W	YLR447C
YLR025W	YMR154C
YLR064W	YLR263W
YLR097C	YMR303C
YLR097C	YPL240C
YLR104W	YLR288C
YLR125W	YLR288C
YLR227C	YOR089C
YLR254C	YLR288C
YLR254C	YNL103W
YLR254C	YOR269W
YLR258W	YLR273C
YLR258W	YOR178C
YLR258W	YPL219W
YLR261C	YNL025C
YLR273C	YLR447C
YLR273C	YNL025C
YLR288C	YLR290C
YLR288C	YNL013C
YLR288C	YNL158W
YLR288C	YNL190W
YLR288C	YOL131W
YLR301W	YNL178W
YLR322W	YNL025C
YLR354C	YNL053W
YLR386W	YNR016C
YLR447C	YLR465C
YLR447C	YMR154C
YLR447C	YOL036W
YLR447C	YOR028C
YLR447C	YOR036W
YLR447C	YOR053W
YLR450W	YOL013C
YML028W	YOR031W
YML028W	YOR089C
YMR009W	YPL222W
YMR068W	YNL047C
YMR102C	YNL218W
YMR105C	YOR212W
YMR133W	YPL114W
YMR173W	YPR096C
YMR186W	YOR027W
YMR186W	YOR057W
YMR186W	YOR089C
YMR186W	YOR212W
YMR186W	YPL240C
YMR276W	YNL281W
YNL084C	YNL103W
YNL084C	YNL250W
YNL091W	YNL164C
YNL092W	YOR028C
YNL092W	YOR040W
YNL093W	YOR089C
YNL116W	YNL311C
YNL116W	YPL110C
YNL118C	YOL151W
YNL147W	YPR178W
YNL250W	YPL240C
YNL266W	YOL131W
YNL311C	YOR027W
YNL311C	YPL240C
YOL082W	YOR302W
YOR005C	YPL110C
YOR005C	YPL240C
YOR027W	YPL240C
YOR027W	YPR054W
YOR027W	YPR178W
YOR036W	YPL240C
YOR039W	YOR302W
YOR039W	YOR303W
YOR057W	YPL240C
YOR212W	YPL240C
YPL234C	YPL264C
YPL240C	YPR054W
YPL240C	YPR178W
