YGL170C	YMR047C
YGL173C	YKL189W
YGL173C	YLL019C
YGL173C	YNL230C
YGL173C	YOL100W
YGL173C	YPL109C
YGL173C	YPR106W
YGL190C	YMR109W
YGL190C	YNR032W
YGL190C	YOR349W
YGL190C	YOR374W
YGL190C	YPR154W
YGL192W	YOR125C
YGL194C	YOL068C
YGL197W	YMR109W
YGL197W	YNL307C
YGL197W	YPL203W
YGL207W	YOL145C
YGR033C	YOL100W
YGR052W	YLR258W
YGR086C	YKL142W
YGR086C	YNL230C
YGR086C	YOL100W
YGR104C	YPR070W
YGR130C	YKL193C
YGR135W	YHR200W
YGR135W	YML092C
YGR135W	YOR261C
YGR167W	YHR161C
YGR192C	YMR109W
YGR241C	YPR178W
YGR268C	YPR154W
YGR295C	YHR007C
YGR295C	YML048W
YHL023C	YMR032W
YHL023C	YNL307C
YHL030W	YHR200W
YHL030W	YML092C
YHL030W	YOR261C
YHL034C	YNL230C
YHR035W	YPR119W
YHR075C	YLR368W
YHR097C	YMR001C
YHR137W	YOR351C
YHR171W	YNL212W
YHR200W	YML092C
YHR200W	YOL038W
YHR200W	YOR259C
YHR200W	YOR261C
YHR200W	YPR108W
YHR207C	YNL027W
YIL021W	YOL005C
YIL021W	YPL203W
YIL025C	YOR352W
YIL033C	YPL203W
YIL051C	YJL165C
YIL055C	YMR047C
YIL109C	YKL171W
YIL109C	YLR078C
YIL126W	YNL116W
YIR037W	YMR047C
YJL048C	YLR368W
YJL056C	YPR154W
YJL081C	YOR244W
YJL083W	YPL109C
YJL106W	YMR001C
YJL214W	YML048W
YJR049C	YMR047C
YJR065C	YLR370C
YJR065C	YMR109W
YJR065C	YNR035C
YJR083C	YPR154W
YJR162C	YMR032W
YKL142W	YMR165C
YKL142W	YNL210W
YKL171W	YNL307C
YKL189W	YMR303C
YKL193C	YPL179W
YKL196C	YMR197C
YLL019C	YOR374W
YLL020C	YPL190C
YLL050C	YNL071W
YLR078C	YMR047C
YLR078C	YPL218W
YLR102C	YML092C
YLR102C	YMR001C
YLR131C	YMR304W
YLR174W	YNR065C
YLR190W	YPL031C
YLR208W	YNL307C
YLR258W	YLR273C
YLR258W	YOR026W
YLR258W	YPL031C
YLR258W	YPL219W
YLR298C	YMR125W
YLR306W	YPL003W
YLR334C	YOR264W
YLR337C	YMR032W
YLR337C	YMR109W
YLR370C	YNR035C
YLR424W	YPR182W
YLR428C	YPL242C
YLR454W	YMR065W
YML092C	YMR047C
YML092C	YOL038W
YML092C	YOR157C
YMR001C	YNL172W
YMR001C	YOR259C
YMR001C	YPL154C
YMR032W	YMR109W
YMR032W	YNL078W
YMR032W	YOL036W
YMR032W	YOR264W
YMR032W	YPL158C
YMR047C	YNL078W
YMR047C	YOR157C
YMR047C	YOR160W
YMR047C	YPL125W
YMR047C	YPR119W
YMR109W	YNL307C
YMR109W	YOR227W
YMR124W	YPR119W
YMR125W	YPL190C
YMR125W	YPR182W
YMR139W	YNL071W
YMR139W	YNL078W
YMR139W	YPL158C
YMR197C	YOR036W
YMR311C	YPL031C
YMR315W	YNL135C
YNL071W	YNL116W
YNL071W	YNL135C
YNL135C	YOR374W
YNL135C	YPR119W
